nome,bairro,cozinha,instagram,emoji,destaque
Lena,Pinheiros,Mineira contemporânea,@lenaemsp,🧀,"Pão de queijo folhado, galinhada com gema curada e cupim de 12h. Afeto com técnica."
Sová,Jardins,Judaica + padaria,@sovarestaurante,🥯,"Sanduíche de pastrami, babka de chocolate e cheesecake clássica. Aberto o dia todo."
Miyabi,Pinheiros,Omakase japonês,@miyabi.br,🍣,Omakase 100% sem glúten em 15 etapas que começam e terminam com cupuaçu.
Mata Città,Cidade Matarazzo,Italiana,,🎬,Sete ambientes cenográficos inspirados no cinema italiano dos anos 60.
Coda Bar,Vila Buarque,Coquetelaria autoral,@_codabar,🍸,A volta do Alê D'Agostino com drinques de assinatura em clima intimista.
Tortuga,Pinheiros,Autoral,,🐢,Primeira filial fora da Espanha. Cozinha sem rótulos com muita brasilidade.
Brisa do Barú,Centro,Frutos do mar,,🦐,"Só 12 lugares no balcão da grelha, dentro do icônico Copan. Toque latino."
Mimada Café,Jardins,Brunch,@mimada.brunch,☕,Café da Renata Vanzetto com clima de casa de vó. Toast de salmão e bolos afetivos.
Lina,Itaim Bibi,Italiana (pasta + brasa),,🔥,Fettuccine ao ragù de costela assada por 18h. Pasta encontra o fogo.
P'Lek Thai,Cerqueira César,Bar tailandês,,🌶️,Petiscos irreverentes e drinques autorais em clima neon. Do chef do Ping Yang.
